dept,spec,pilot_dept,week_date,month_date,week_num,month_num,month_name,pilot_dept_wk_compl,pilot_dept_mo_compl,spec_wk_compl,spec_mo_compl,spec_p,dept_p
FB CARDIOLOGY,Cardiology,Pilot,2025-03-03,2025-03-01,9,3,Mar,77.35849056603774,81.43459915611815,81.25,88.57142857142857,Cardiology*,FB CARDIOLOGY*
FB CARDIOTHORACIC SURGERY,Surgery,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,81.1881188118812,78.72807017543859,Surgery,FB CARDIOTHORACIC SURGERY
FB COLON RECTAL SURG,Surgery,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,81.1881188118812,78.72807017543859,Surgery,FB COLON RECTAL SURG
FB DERMATOLOGY,Dermatology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,74.35897435897436,77.39130434782608,Dermatology,FB DERMATOLOGY
FB GENERAL SURGERY,Surgery,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,81.1881188118812,78.72807017543859,Surgery,FB GENERAL SURGERY
FB GER PALLIATIVE CARE,Geri/Palliative Care,Pilot,2025-03-03,2025-03-01,9,3,Mar,77.35849056603774,81.43459915611815,85.71428571428571,70.37037037037037,Geri/Palliative Care*,FB GER PALLIATIVE CARE*
FB GI & LIVER DISEASES,Gastroenterology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,100,84.78260869565217,Gastroenterology,FB GI & LIVER DISEASES
FB HEM ONC,Hematology/Oncology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,66.66666666666666,83.33333333333334,Hematology/Oncology,FB HEM ONC
FB ID,Infectious Disease,Pilot,2025-03-03,2025-03-01,9,3,Mar,77.35849056603774,81.43459915611815,77.77777777777779,80.72289156626506,Infectious Disease*,FB ID*
FB MFM,Obstetrics/Gynecology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,92.72727272727272,83.11688311688312,Obstetrics/Gynecology,FB MFM
FB MIDWIFERY,Obstetrics/Gynecology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,92.72727272727272,83.11688311688312,Obstetrics/Gynecology,FB MIDWIFERY
FB NEPHROLOGY,Nephrology (FB),Pilot,2025-03-03,2025-03-01,9,3,Mar,77.35849056603774,81.43459915611815,100,78.94736842105263,Nephrology (FB)*,FB NEPHROLOGY*
FB NEUROLOGY,Neurology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,93.75,90.9090909090909,Neurology,FB NEUROLOGY
FB NEUROSURGERY,Surgery,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,81.1881188118812,78.72807017543859,Surgery,FB NEUROSURGERY
FB OB/GYN,Obstetrics/Gynecology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,92.72727272727272,83.11688311688312,Obstetrics/Gynecology,FB OB/GYN
FB OPHTHALMOLOGY,Ophthalmology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,50,61.29032258064516,Ophthalmology,FB OPHTHALMOLOGY
FB ORTHOPAEDIC SURG,Surgery,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,81.1881188118812,78.72807017543859,Surgery,FB ORTHOPAEDIC SURG
FB PAIN,Pain Management,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,60,60,Pain Management,FB PAIN
FB PODIATRY,Podiatry,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,76.47058823529412,78.75,Podiatry,FB PODIATRY
FB PREVENTORIUM CLINIC,Primary Care,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,93.33333333333331,89.17525773195877,Primary Care,FB PREVENTORIUM CLINIC
FB PRIMARY CARE,Primary Care,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,93.33333333333331,89.17525773195877,Primary Care,FB PRIMARY CARE
FB PULMONOLOGY,Pulmonology,Pilot,2025-03-03,2025-03-01,9,3,Mar,77.35849056603774,81.43459915611815,63.63636363636363,78.94736842105263,Pulmonology*,FB PULMONOLOGY*
FB THORACIC SURGERY,Surgery,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,81.1881188118812,78.72807017543859,Surgery,FB THORACIC SURGERY
FB UROLOGY,Urology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,71.42857142857143,76,Urology,FB UROLOGY
FB VASCULAR SURGERY,Surgery,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,81.1881188118812,78.72807017543859,Surgery,FB VASCULAR SURGERY
M ST BREAST SURGERY,Surgery,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,81.1881188118812,78.72807017543859,Surgery,M ST BREAST SURGERY
M ST COS/PLAST SUR,Surgery,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,81.1881188118812,78.72807017543859,Surgery,M ST COS/PLAST SUR
M ST DERMATOLOGY,Dermatology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,74.35897435897436,77.39130434782608,Dermatology,M ST DERMATOLOGY
M ST ENDOCRINOLOGY,Endocrinology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,100,75,Endocrinology,M ST ENDOCRINOLOGY
M ST ENT,ENT,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,83.63636363636363,88.67924528301887,ENT,M ST ENT
M ST OB/GYN,Obstetrics/Gynecology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,92.72727272727272,83.11688311688312,Obstetrics/Gynecology,M ST OB/GYN
M ST ORTHOPAEDIC SURG,Surgery,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,81.1881188118812,78.72807017543859,Surgery,M ST ORTHOPAEDIC SURG
M ST PRIMARY CARE,Primary Care,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,93.33333333333331,89.17525773195877,Primary Care,M ST PRIMARY CARE
M ST RHEUMATOLOGY,Rheumatology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,100,100,Rheumatology,M ST RHEUMATOLOGY
FB CARDIOLOGY,Cardiology,Pilot,2025-03-10,2025-03-01,10,3,Mar,85.71428571428571,81.43459915611815,94.11764705882352,88.57142857142857,Cardiology*,FB CARDIOLOGY*
FB COLON RECTAL SURG,Surgery,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,80.19801980198021,78.72807017543859,Surgery,FB COLON RECTAL SURG
FB DERMATOLOGY,Dermatology,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,83.33333333333334,77.39130434782608,Dermatology,FB DERMATOLOGY
FB GENERAL SURGERY,Surgery,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,80.19801980198021,78.72807017543859,Surgery,FB GENERAL SURGERY
FB GER PALLIATIVE CARE,Geri/Palliative Care,Pilot,2025-03-10,2025-03-01,10,3,Mar,85.71428571428571,81.43459915611815,50,70.37037037037037,Geri/Palliative Care*,FB GER PALLIATIVE CARE*
FB GI & LIVER DISEASES,Gastroenterology,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,50,84.78260869565217,Gastroenterology,FB GI & LIVER DISEASES
FB HEM ONC,Hematology/Oncology,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,100,83.33333333333334,Hematology/Oncology,FB HEM ONC
FB ID,Infectious Disease,Pilot,2025-03-10,2025-03-01,10,3,Mar,85.71428571428571,81.43459915611815,91.66666666666666,80.72289156626506,Infectious Disease*,FB ID*
FB IR,Interventional Radiology,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,100,100,Interventional Radiology,FB IR
FB MFM,Obstetrics/Gynecology,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,73.46938775510205,83.11688311688312,Obstetrics/Gynecology,FB MFM
FB MIDWIFERY,Obstetrics/Gynecology,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,73.46938775510205,83.11688311688312,Obstetrics/Gynecology,FB MIDWIFERY
FB NEPHROLOGY,Nephrology (FB),Pilot,2025-03-10,2025-03-01,10,3,Mar,85.71428571428571,81.43459915611815,85.71428571428571,78.94736842105263,Nephrology (FB)*,FB NEPHROLOGY*
FB NEUROLOGY,Neurology,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,89.28571428571429,90.9090909090909,Neurology,FB NEUROLOGY
FB NEUROSURGERY,Surgery,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,80.19801980198021,78.72807017543859,Surgery,FB NEUROSURGERY
FB OB/GYN,Obstetrics/Gynecology,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,73.46938775510205,83.11688311688312,Obstetrics/Gynecology,FB OB/GYN
FB OPHTHALMOLOGY,Ophthalmology,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,37.5,61.29032258064516,Ophthalmology,FB OPHTHALMOLOGY
FB ORTHOPAEDIC SURG,Surgery,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,80.19801980198021,78.72807017543859,Surgery,FB ORTHOPAEDIC SURG
FB PAIN,Pain Management,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,66.66666666666666,60,Pain Management,FB PAIN
FB PODIATRY,Podiatry,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,90.9090909090909,78.75,Podiatry,FB PODIATRY
FB PREVENTORIUM CLINIC,Primary Care,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,90.42553191489364,89.17525773195877,Primary Care,FB PREVENTORIUM CLINIC
FB PRIMARY CARE,Primary Care,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,90.42553191489364,89.17525773195877,Primary Care,FB PRIMARY CARE
FB PULMONOLOGY,Pulmonology,Pilot,2025-03-10,2025-03-01,10,3,Mar,85.71428571428571,81.43459915611815,85.71428571428571,78.94736842105263,Pulmonology*,FB PULMONOLOGY*
FB THORACIC SURGERY,Surgery,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,80.19801980198021,78.72807017543859,Surgery,FB THORACIC SURGERY
FB TRAUMA SURGERY,Surgery,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,80.19801980198021,78.72807017543859,Surgery,FB TRAUMA SURGERY
FB UROLOGY,Urology,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,55.55555555555556,76,Urology,FB UROLOGY
FB VASCULAR SURGERY,Surgery,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,80.19801980198021,78.72807017543859,Surgery,FB VASCULAR SURGERY
M ST BREAST SURGERY,Surgery,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,80.19801980198021,78.72807017543859,Surgery,M ST BREAST SURGERY
M ST CARDIAC SURGERY,Surgery,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,80.19801980198021,78.72807017543859,Surgery,M ST CARDIAC SURGERY
M ST COS/PLAST SUR,Surgery,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,80.19801980198021,78.72807017543859,Surgery,M ST COS/PLAST SUR
M ST DERMATOLOGY,Dermatology,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,83.33333333333334,77.39130434782608,Dermatology,M ST DERMATOLOGY
M ST ENT,ENT,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,88.88888888888889,88.67924528301887,ENT,M ST ENT
M ST OB/GYN,Obstetrics/Gynecology,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,73.46938775510205,83.11688311688312,Obstetrics/Gynecology,M ST OB/GYN
M ST ORTHOPAEDIC SURG,Surgery,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,80.19801980198021,78.72807017543859,Surgery,M ST ORTHOPAEDIC SURG
M ST PRIMARY CARE,Primary Care,Non-Pilot,2025-03-10,2025-03-01,10,3,Mar,81.94070080862534,82.60623229461757,90.42553191489364,89.17525773195877,Primary Care,M ST PRIMARY CARE
FB CARDIOLOGY,Cardiology,Pilot,2025-03-17,2025-03-01,11,3,Mar,74.50980392156863,81.43459915611815,93.75,88.57142857142857,Cardiology*,FB CARDIOLOGY*
FB CARDIOTHORACIC SURGERY,Surgery,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,78.2258064516129,78.72807017543859,Surgery,FB CARDIOTHORACIC SURGERY
FB COLON RECTAL SURG,Surgery,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,78.2258064516129,78.72807017543859,Surgery,FB COLON RECTAL SURG
FB DERMATOLOGY,Dermatology,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,74.07407407407408,77.39130434782608,Dermatology,FB DERMATOLOGY
FB GENERAL SURGERY,Surgery,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,78.2258064516129,78.72807017543859,Surgery,FB GENERAL SURGERY
FB GER PALLIATIVE CARE,Geri/Palliative Care,Pilot,2025-03-17,2025-03-01,11,3,Mar,74.50980392156863,81.43459915611815,50,70.37037037037037,Geri/Palliative Care*,FB GER PALLIATIVE CARE*
FB GI & LIVER DISEASES,Gastroenterology,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,80,84.78260869565217,Gastroenterology,FB GI & LIVER DISEASES
FB HEM ONC,Hematology/Oncology,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,100,83.33333333333334,Hematology/Oncology,FB HEM ONC
FB ID,Infectious Disease,Pilot,2025-03-17,2025-03-01,11,3,Mar,74.50980392156863,81.43459915611815,72.22222222222221,80.72289156626506,Infectious Disease*,FB ID*
FB MFM,Obstetrics/Gynecology,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,88.33333333333333,83.11688311688312,Obstetrics/Gynecology,FB MFM
FB MIDWIFERY,Obstetrics/Gynecology,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,88.33333333333333,83.11688311688312,Obstetrics/Gynecology,FB MIDWIFERY
FB NEPHROLOGY,Nephrology (FB),Pilot,2025-03-17,2025-03-01,11,3,Mar,74.50980392156863,81.43459915611815,50,78.94736842105263,Nephrology (FB)*,FB NEPHROLOGY*
FB NEUROLOGY,Neurology,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,92.85714285714286,90.9090909090909,Neurology,FB NEUROLOGY
FB NEUROSURGERY,Surgery,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,78.2258064516129,78.72807017543859,Surgery,FB NEUROSURGERY
FB OB/GYN,Obstetrics/Gynecology,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,88.33333333333333,83.11688311688312,Obstetrics/Gynecology,FB OB/GYN
FB OPHTHALMOLOGY,Ophthalmology,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,100,61.29032258064516,Ophthalmology,FB OPHTHALMOLOGY
FB ORTHOPAEDIC SURG,Surgery,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,78.2258064516129,78.72807017543859,Surgery,FB ORTHOPAEDIC SURG
FB PAIN,Pain Management,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,46.15384615384615,60,Pain Management,FB PAIN
FB PODIATRY,Podiatry,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,86.66666666666667,78.75,Podiatry,FB PODIATRY
FB PREVENTORIUM CLINIC,Primary Care,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,86.07594936708861,89.17525773195877,Primary Care,FB PREVENTORIUM CLINIC
FB PRIMARY CARE,Primary Care,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,86.07594936708861,89.17525773195877,Primary Care,FB PRIMARY CARE
FB PULMONOLOGY,Pulmonology,Pilot,2025-03-17,2025-03-01,11,3,Mar,74.50980392156863,81.43459915611815,71.42857142857143,78.94736842105263,Pulmonology*,FB PULMONOLOGY*
FB RADIATION ONCOLOGY,Radiation Oncology,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,0,0,Radiation Oncology,FB RADIATION ONCOLOGY
FB THORACIC SURGERY,Surgery,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,78.2258064516129,78.72807017543859,Surgery,FB THORACIC SURGERY
FB TRAUMA SURGERY,Surgery,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,78.2258064516129,78.72807017543859,Surgery,FB TRAUMA SURGERY
FB UROLOGY,Urology,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,83.33333333333334,76,Urology,FB UROLOGY
FB VASCULAR SURGERY,Surgery,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,78.2258064516129,78.72807017543859,Surgery,FB VASCULAR SURGERY
INGLESIDE GERIATRICS,Geriatrics (Ingleside),Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,0,0,Geriatrics (Ingleside),INGLESIDE GERIATRICS
M ST BREAST SURGERY,Surgery,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,78.2258064516129,78.72807017543859,Surgery,M ST BREAST SURGERY
M ST CARDIAC SURGERY,Surgery,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,78.2258064516129,78.72807017543859,Surgery,M ST CARDIAC SURGERY
M ST COS/PLAST SUR,Surgery,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,78.2258064516129,78.72807017543859,Surgery,M ST COS/PLAST SUR
M ST DERMATOLOGY,Dermatology,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,74.07407407407408,77.39130434782608,Dermatology,M ST DERMATOLOGY
M ST ENDOCRINOLOGY,Endocrinology,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,50,75,Endocrinology,M ST ENDOCRINOLOGY
M ST ENT,ENT,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,96.15384615384616,88.67924528301887,ENT,M ST ENT
M ST NEPHROLOGY,Nephrology (M St),Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,100,100,Nephrology (M St),M ST NEPHROLOGY
M ST OB/GYN,Obstetrics/Gynecology,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,88.33333333333333,83.11688311688312,Obstetrics/Gynecology,M ST OB/GYN
M ST ORTHOPAEDIC SURG,Surgery,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,78.2258064516129,78.72807017543859,Surgery,M ST ORTHOPAEDIC SURG
M ST PRIMARY CARE,Primary Care,Non-Pilot,2025-03-17,2025-03-01,11,3,Mar,82.93838862559242,82.60623229461757,86.07594936708861,89.17525773195877,Primary Care,M ST PRIMARY CARE
FB CARDIOLOGY,Cardiology,Pilot,2025-03-24,2025-03-01,12,3,Mar,89.28571428571429,81.43459915611815,85,88.57142857142857,Cardiology*,FB CARDIOLOGY*
FB COLON RECTAL SURG,Surgery,Non-Pilot,2025-03-24,2025-03-01,12,3,Mar,81.75519630484989,82.60623229461757,76,78.72807017543859,Surgery,FB COLON RECTAL SURG
FB DERMATOLOGY,Dermatology,Non-Pilot,2025-03-24,2025-03-01,12,3,Mar,81.75519630484989,82.60623229461757,80,77.39130434782608,Dermatology,FB DERMATOLOGY
FB GENERAL SURGERY,Surgery,Non-Pilot,2025-03-24,2025-03-01,12,3,Mar,81.75519630484989,82.60623229461757,76,78.72807017543859,Surgery,FB GENERAL SURGERY
FB GER PALLIATIVE CARE,Geri/Palliative Care,Pilot,2025-03-24,2025-03-01,12,3,Mar,89.28571428571429,81.43459915611815,100,70.37037037037037,Geri/Palliative Care*,FB GER PALLIATIVE CARE*
FB GI & LIVER DISEASES,Gastroenterology,Non-Pilot,2025-03-24,2025-03-01,12,3,Mar,81.75519630484989,82.60623229461757,94.11764705882352,84.78260869565217,Gastroenterology,FB GI & LIVER DISEASES
FB HEM ONC,Hematology/Oncology,Non-Pilot,2025-03-24,2025-03-01,12,3,Mar,81.75519630484989,82.60623229461757,66.66666666666666,83.33333333333334,Hematology/Oncology,FB HEM ONC
FB ID,Infectious Disease,Pilot,2025-03-24,2025-03-01,12,3,Mar,89.28571428571429,81.43459915611815,86.66666666666667,80.72289156626506,Infectious Disease*,FB ID*
FB INFUSION CENTER,Hematology/Oncology,Non-Pilot,2025-03-24,2025-03-01,12,3,Mar,81.75519630484989,82.60623229461757,66.66666666666666,83.33333333333334,Hematology/Oncology,FB INFUSION CENTER
FB MFM,Obstetrics/Gynecology,Non-Pilot,2025-03-24,2025-03-01,12,3,Mar,81.75519630484989,82.60623229461757,75.47169811320755,83.11688311688312,Obstetrics/Gynecology,FB MFM
FB MIDWIFERY,Obstetrics/Gynecology,Non-Pilot,2025-03-24,2025-03-01,12,3,Mar,81.75519630484989,82.60623229461757,75.47169811320755,83.11688311688312,Obstetrics/Gynecology,FB MIDWIFERY
FB NEPHROLOGY,Nephrology (FB),Pilot,2025-03-24,2025-03-01,12,3,Mar,89.28571428571429,81.43459915611815,83.33333333333334,78.94736842105263,Nephrology (FB)*,FB NEPHROLOGY*
FB NEUROLOGY,Neurology,Non-Pilot,2025-03-24,2025-03-01,12,3,Mar,81.75519630484989,82.60623229461757,90,90.9090909090909,Neurology,FB NEUROLOGY
FB NEUROSURGERY,Surgery,Non-Pilot,2025-03-24,2025-03-01,12,3,Mar,81.75519630484989,82.60623229461757,76,78.72807017543859,Surgery,FB NEUROSURGERY
FB OB/GYN,Obstetrics/Gynecology,Non-Pilot,2025-03-24,2025-03-01,12,3,Mar,81.75519630484989,82.60623229461757,75.47169811320755,83.11688311688312,Obstetrics/Gynecology,FB OB/GYN
FB OPHTHALMOLOGY,Ophthalmology,Non-Pilot,2025-03-24,2025-03-01,12,3,Mar,81.75519630484989,82.60623229461757,80,61.29032258064516,Ophthalmology,FB OPHTHALMOLOGY
FB PAIN,Pain Management,Non-Pilot,2025-03-24,2025-03-01,12,3,Mar,81.75519630484989,82.60623229461757,75,60,Pain Management,FB PAIN
FB PMR,Physical Medicine and Rehabilitation,Non-Pilot,2025-03-24,2025-03-01,12,3,Mar,81.75519630484989,82.60623229461757,100,100,Physical Medicine and Rehabilitation,FB PMR
FB PODIATRY,Podiatry,Non-Pilot,2025-03-24,2025-03-01,12,3,Mar,81.75519630484989,82.60623229461757,72.41379310344827,78.75,Podiatry,FB PODIATRY
